U,I
10.0,2.6
11.0,3.8
11.5,4.0
12.0,3.8
12.5,3.2
13.0,2.7
14.0,1.5
15.0,1.0
16.0,0.6
17.0,0.7
18.0,0.7
19.0,0.8
20.0,1.1
21.0,2.3
22.0,4.3
22.5,4.7
23.0,5.2
23.5,4.9
24.0,4.2
24.5,3.5
25.5,1.8
26.5,1.1
27.5,0.9
28.5,0.9
29.5,0.9
30.5,0.9
31.5,1.5
32.5,2.9
33.5,4.8
34.0,5.7
34.5,6.1
35.0,6.0
35.5,5.4
36.0,4.3
37.0,2.4
38.0,1.5
39.0,1.2
40.0,1.2
41.0,1.1
42.0,1.3
43.0,1.8
44.0,3.2
45.0,5.6
45.5,6.7
46.0,6.9
46.5,6.9
47.0,6.2
47.5,5.2
48.5,3.1
49.5,1.8
50.5,1.4
51.5,1.2
52.5,1.4
53.5,1.6
54.5,2.1
55.5,3.8
56.5,6.2
57.5,8.1
58.0,8.1
58.5,7.3
59.0,6.0
60.0,3.4
61.0,2.0
62.0,1.6
63.0,1.5
64.0,1.5
65.0,1.6
66.0,2.3
67.0,4.0
68.0,6.9
69.0,9.1
69.5,9.1
70.0,8.4
70.5,7.0
71.5,4.0
72.5,2.5
73.5,1.9
74.5,1.8
75.5,1.8
76.5,2.0
77.5,2.6
78.5,4.3
79.5,7.7
80.5,10.0
81.0,10.1
81.5,9.4
82.0,7.9
82.5,6.3
83.5,3.7
84.5,2.4
85.5,2.1
86.5,2.2
87.5,2.2
88.5,2.4
89.5,3.6
90.5,6.3
91.5,9.9
92.0,11.1
92.5,11.1
93.0,10.5
93.5,8.9
94.0,7.2
95.0,4.2
