测量项,次数,a/cm,b/cm,H/cm,50T/s,d/cm,D内/cm,D外/cm
空盘,1,6.70,12.39,38.70,83.96,,,
空盘,2,6.71,12.38,38.75,84.11,,,
空盘,3,6.70,12.39,38.72,84.02,,,
圆环,1,,,,74.31,,6.70,12.00
圆环,2,,,,74.45,,6.71,11.99
圆环,3,,,,74.39,,6.70,12.00
平行轴,1,,,,67.89,0,,
平行轴,2,,,,68.06,0,,
平行轴,3,,,,67.96,0,,
平行轴,1,,,,69.27,2,,
平行轴,2,,,,69.43,2,,
平行轴,3,,,,69.39,2,,
平行轴,1,,,,71.08,3,,
平行轴,2,,,,71.25,3,,
平行轴,3,,,,71.19,3,,
平行轴,1,,,,73.41,4,,
平行轴,2,,,,73.56,4,,
平行轴,3,,,,73.53,4,,
平行轴,1,,,,76.42,5,,
平行轴,2,,,,76.60,5,,
平行轴,3,,,,76.54,5,,
平行轴,1,,,,79.82,6,,
平行轴,2,,,,79.98,6,,
平行轴,3,,,,79.92,6,,
平行轴,1,,,,83.80,7,,
平行轴,2,,,,83.95,7,,
平行轴,3,,,,83.91,7,,
