experiment,pdf_count,pdf_name,pdf_pages,old_txt,old_txt_chars,old_txt_pua,old_txt_other,old_txt_replace,single_char_line_ratio,old_txt_sections,headers_footers,toc_pages,empty_pages,scanned_suspect,needs_manual_review,notes
exp0,0,,,False,,,,,,,,,,False,False,无 PDF/docx/旧文本（仅示例数据）
exp1,1,单摆法测重力加速度B（实验指导）.pdf,9,True,4703,0,0,0,0.4106,参考资料、实验内容、实验原理、实验目的、实验装置、实验要求、思考题、注意事项,,,,False,False,
exp10,1,磁力摆B（实验指导）.pdf,20,True,2168,1,0,0,0.0544,实验仪器、实验原理、实验目的、思考题、注意事项、能力培养,,2,"1,20",False,True,"文本过少页: [1, 20] | 疑似目录页: [2]"
exp11,1,半导体温度计B（实验指导）.pdf,16,True,9397,21,16,0,0.378,参考资料、实验原理、实验目的、实验装置、实验要求、思考题、注意事项,大学物理基础实验(16页); 物理实验教学中心(16页),,,False,True,
exp12,1,示波器的使用B(实验指导).pdf,17,True,8287,1,81,0,0.3962,参考资料、实验仪器、实验内容、实验原理、实验目的、实验要求、思考题、注意事项,大学物理基础实验(17页); 物理实验教学中心(17页),,,False,True,
exp13,1,整流滤波B（实验指导）.pdf,6,True,3465,57,0,0,0.0,实验内容、实验原理、思考题,,,,False,True,
exp14,1,直流电源特性B（实验指导）.pdf,3,True,1265,0,0,0,0.0,实验仪器、实验内容、实验原理、思考题,,,,False,False,
exp15,1,硅光电池B（实验指导）.pdf,8,True,3746,50,0,0,0.0251,实验仪器、实验内容、实验原理、实验报告、实验目的、实验要求、思考题、注意事项,,,,False,True,
exp16,1,配色实验B（实验指导）.pdf,7,True,2904,5,0,0,0.0315,实验仪器、实验内容、实验原理、实验报告、实验目的、实验要求、思考题、注意事项,,,,False,True,
exp17,1,数字体温计B（实验指导）.pdf,18,True,2099,8,0,0,0.0148,实验仪器、实验原理、实验目的、思考题、注意事项、能力培养,科学素养(7页),2,"1,18",False,True,"文本过少页: [1, 18] | 疑似目录页: [2]"
exp18_a,1,分光计的调节和使用B（实验指导）.pdf,12,True,7049,0,0,0,0.4266,实验内容、实验原理、实验目的、实验要求、思考题、注意事项,,,,False,False,
exp18_b,1,用分光计测三棱镜折射率B（实验指导）.pdf,8,True,4193,0,0,0,0.5271,实验原理、实验报告、实验目的、实验装置、实验要求、思考题、注意事项,,,,False,False,
exp19,1,干涉法测微小量（测头发丝直径）（实验指导）.pdf,6,True,3610,39,0,0,0.0,实验内容、实验原理、实验要求、思考题、注意事项,,,,False,True,
exp2,1,表面张力B（实验指导）.pdf,12,True,5552,59,0,0,0.0136,实验内容、实验原理、实验报告、实验目的、实验装置、实验要求、思考题、注意事项,液体表面张力系数测定(12页),,,False,True,
exp20,1,透镜参数测量（实验指导）.pdf,9,True,4675,13,0,0,0.0,实验仪器、实验内容、实验原理、实验要求、思考题、数据记录、注意事项,,,,False,True,
exp21,1,显微镜B（实验指导）.pdf,17,True,5050,0,0,0,0.0,实验仪器、实验内容、实验原理、实验目的,,,,False,False,
exp22,1,衍射实验B（实验指导）.pdf,7,True,4041,0,0,0,0.0054,实验仪器、实验内容、实验原理、实验报告、实验目的、思考题,,,,False,False,
exp23,1,光电效应B（实验指导）.pdf,10,True,9159,28,0,0,0.0085,实验原理、实验目的、注意事项,,,,False,True,
exp24,1,密立根油滴实验B（实验指导）.pdf,10,True,7266,164,0,0,0.0508,实验装置、实验要求、思考题、数据处理、注意事项,,,,False,True,
exp25,1,生活中的物理实验B（实验指导）.pdf,44,True,20222,1,0,0,0.0,实验仪器、实验原理,实验讲义 -生活中的物理实验(44页),,,False,True,
exp26,1,磁阻效应（实验指导）.pdf,3,True,2058,5,0,0,0.0674,实验仪器、实验内容、实验原理、实验要求,,,,False,True,
exp27,1,非平衡电桥（实验指导）.pdf,10,True,6471,5,0,0,0.0,参考资料、实验仪器、实验内容、实验目的、实验要求、思考题、注意事项,实验讲义(10页),,,False,True,
exp28,1,霍尔效应（实验指导）.pdf,5,True,3078,6,0,0,0.0081,实验内容、实验原理、实验目的、注意事项,,,,False,True,
exp29,1,交流谐振电路（实验指导）.pdf,15,True,8788,242,0,0,0.0398,参考资料、实验内容、实验原理、实验目的、实验装置、实验要求、思考题,实验讲义(15页),,,False,True,
exp3,1,粘滞系数B（实验指导）.pdf,12,True,5782,184,0,0,0.0407,实验仪器、实验内容、实验原理、实验目的、实验要求、思考题、注意事项,液体粘度的测定(12页),,,False,True,
exp30,0,,,True,3401,1,0,0,0.0,参考资料、实验内容、实验原理、实验目的、实验装置、思考题,,,,False,True,源文件为 docx，无 PDF，沿用旧提取文本
exp31,1,数字表改装（实验指导）.pdf,13,True,7066,40,0,0,0.0158,实验仪器、实验内容、实验原理、实验目的、实验要求、思考题、注意事项,数字电表组装设计性实验(13页),,,False,True,
exp32,1,双臂电桥（实验指导）.pdf,10,True,4324,2,0,0,0.0,实验仪器、实验内容、实验原理、实验报告、实验要求、思考题、注意事项,双臂电桥测量低电阻(10页),,,False,True,
exp33,0,,,True,4832,0,0,0,0.0,实验要求、思考题、注意事项,,,,False,True,源文件为 docx，无 PDF，沿用旧提取文本
exp34,1,光纤传感器（实验指导）.pdf,19,True,13687,218,0,0,0.0151,参考资料、实验仪器、实验原理、实验要求、注意事项,,,,False,True,
exp35,1,迈氏干涉仪（实验指导）.pdf,8,True,5731,218,0,0,0.6268,实验内容、实验原理、实验要求、思考题、注意事项,中国科学技术大学(7页); 物理实验教学中心(7页),,,False,True,
exp36,1,偏振光（实验指导）.pdf,12,True,5861,67,0,0,0.4017,参考资料、实验仪器、实验内容、实验原理、实验报告、实验要求、思考题、数据处理、注意事项,中国科学技术大学(11页); 物理实验教学中心(11页),,,False,True,
exp37,1,摄谱_单色仪（实验指导）.pdf,28,True,15162,119,0,0,0.0268,参考资料、实验仪器、实验内容、实验原理、实验目的、实验装置、实验要求、思考题,,,,False,True,
exp38,1,双光栅实验（实验指导）.pdf,8,True,3872,53,0,0,0.0,实验内容、实验要求,光栅衍射和双光栅 Lau效应实验(8页),,,False,True,
